Formula_dcg,Na,Cr,Se,Fe,P,O,Cu,Sb,W,V,C,Mn,Ni,H,S,Mo,Co,Si,As,Re,Ti,Nb,Te,F,Ge,B,N,Sc,Sn,Nd,Ag,Hf,Cl,Pr,Ta
Na3CuPCO7,Na,,,,1012.0,1314.0,745.5,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na2TiPCO7,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,,,,,658.0,,,,,,,,,,,,,,
Na3MnBPO7,Na,,,,1012.0,1314.0,,,,,,717.4,,,,,,,,,,,,,,800.7,,,,,,,,,
Na2NiCSO7,Na,,,,,1314.0,,,,,1086.0,,736.7,,999.6,,,,,,,,,,,,,,,,,,,,
Na3Ni,Na,,,,,,,,,,,,736.7,,,,,,,,,,,,,,,,,,,,,,
NaV4(CuO4)3,Na,,,,,1314.0,745.5,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
Na2Cu5(Si2O7)2,Na,,,,,1314.0,745.5,,,,,,,,,,,786.5,,,,,,,,,,,,,,,,,
Na(FeSb3)4,Na,,,759.4,,,,833.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na3CrPCO7,Na,652.9,,,1012.0,1314.0,,,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,
Na6Mn2C4SO16,Na,,,,,1314.0,,,,,1086.0,717.4,,,999.6,,,,,,,,,,,,,,,,,,,,
Na6Co2P(CO4)4,Na,,,,1012.0,1314.0,,,,,1086.0,,,,,,758.0,,,,,,,,,,,,,,,,,,
Na6Cr2As(CO4)4,Na,652.9,,,,1314.0,,,,,1086.0,,,,,,,,947.0,,,,,,,,,,,,,,,,
Na3MnBAsO7,Na,,,,,1314.0,,,,,,717.4,,,,,,,947.0,,,,,,,800.7,,,,,,,,,
Na3CuBSO7,Na,,,,,1314.0,745.5,,,,,,,,999.6,,,,,,,,,,,800.7,,,,,,,,,
NaTi3Nb(CuO4)3,Na,,,,,1314.0,745.5,,,,,,,,,,,,,,658.0,664.0,,,,,,,,,,,,,
